GTVID,Latitude,Longitude,nearest_interstate,distance_to_interstate_mi
RAG526,35.8371486,-78.581854,I- 440,1.94186716933278
HLG082,39.8175059,-76.99389479999999,I- 83,15.92115493462096
JAG187,32.1881853,-90.2635409,I- 55,0.46053275004427896
PLG260,40.1541599,-75.0092058,I- 276,0.5228473299256282
DCG644,39.1519323,-77.067262,I- 370,5.627315342360058
SLG240,38.70128,-90.263908,I- 70,0.0461218545508182
CHG550,41.98452160000001,-87.98048639999999,I- 290,2.1837409835042787
HTG064,31.0491398,-89.81244699999999,I- 59,22.560554201533613
LSG122,38.35564859999999,-85.61112080000001,I- 265,1.881385251536552
MDG159,42.714774,-90.990018,I- 380,54.87335003286454
CHE598,41.57277824,-87.25084129,I- 80,0.44822703668570424
CHE598,41.57277824,-87.25084129,I- 94,0.44822703668570424
DYE019,39.86199818,-84.28394103,I- 70,0.28456013904153166
MWE022,42.68114045,-88.05218008,I- 41,5.011922979421656
MWE022,42.68114045,-88.05218008,I- 94,5.011922979421656
DYW047,39.8634152,-84.2871445,I- 70,0.43870948901772927
MDG160,42.7310021,-89.0341736,I- 39,1.5468172296734024
MDG160,42.7310021,-89.0341736,I- 90,1.5468172296734024
CHE295,42.4759646,-88.1049385,I- 94,7.169016815235002
DFG459,31.7822009,-97.5765477,I- 35,27.71638966264564
SVG206,32.4558126,-81.7397907,I- 16,11.999398203970749
FSG057,43.5899258,-83.9162348,I- 75,1.6020092079377501
SDG079,32.802592,-117.010176,I- 8,1.7176001818714628
RFG019,42.286776,-89.081438,I- 39,5.9313517874410975
RFG019,42.286776,-89.081438,I- 90,5.9313517874410975
BIG303,33.997806,-85.866696,I- 759,8.1295026244618
ASG068,42.766272,-73.814523,I- 87,2.407424532752962
SMG027,38.5310756,-75.05823989999999,I- 295,82.99776696016689
JVG348,30.3014472,-81.62726909999999,I- 95,0.6096935531392877
JVG347,30.1302711,-81.77436569999999,I- 295,5.022515104532697
ORG597,29.18806489999999,-82.11599819999999,I- 75,4.14814355379777
JVG349,30.6007547,-81.5991809,I- 95,2.6891581813913112
WOG142,31.3089563,-96.6360987,I- 35,32.83363174705333
JAG188,32.5417814,-90.3131439,I- 55,11.287238218512494
BHG005,42.1036473,-76.0522226,I- 86,3.7914663296352566
EVG052,37.9730741,-87.4052949,I- 69,2.361482788248769
MAG254,25.7605356,-80.3984608,I- 75,9.966996946658613
MAG255,25.6477178,-80.3339092,I- 95,10.291681049570851
ATG917,33.5609942,-85.1161077,I- 20,8.646127991318643
DFG460,32.8188975,-97.2349054,I- 820,1.3478786747545628
DCG645,38.8996801,-77.2674869,I- 66,1.4651845369500076
MYG167,34.294506,-79.8869728,I- 20,6.269314273539156
RAG527,35.4191661,-77.9824795,I- 795,0.7414134654193932
KCG086,39.0582472,-94.5912124,I- 35,1.2648277963214056
HOG4A3,29.871593,-94.8929696,I- 10,3.3881998328482057
SKG202,40.1051355,-111.6128922,I- 15,2.4848418617008847
NYG397,41.7848494,-73.6957431,I- 84,16.54767385213887
DFG461,32.760395,-97.8229221,I- 20,2.2092829863497565
LAG527,33.831597,-118.010532,I- 5,2.3656374533081985
NYG398,41.8490712,-73.5576274,I- 84,22.60329497451283
PDG054,37.0556842,-88.0361367,I- 24,0.13763200779441717
AUG258,30.0634514,-97.8213971,I- 35,0.5628793141971663
FMG122,26.7402867,-80.9028316,I- 75,38.786251342299025
DFG462,33.0789405,-97.5633476,I- 35 W,16.295329670074423
SFG198,37.7049528,-122.1296058,I- 580,0.4333312196304518
FRG149,36.6052156,-119.5257559,I- 5,46.36467028808422
AUW123,30.254463,-97.7372781,I- 35,0.028715265255167422
KNE042,35.76988599,-83.98352053,I- 140,3.4059121999225797
BOE002,42.29033549,-71.35295226,I- 90,1.629179840367123
JPE003,37.06605100000001,-94.5322123,I- 44,2.189229104788679
CAE005,35.3158667,-81.19106687,I- 85,2.1016292081425823
MCE001,32.98109473,-82.82347762,I- 16,34.56471286149166
CHE270,41.9322619,-87.66339933,I- 90,0.996408908484622
CHE270,41.9322619,-87.66339933,I- 94,0.996408908484622
GEG069,34.784863,-76.858867,I- 40,60.597876049332115
MYG168,34.6698111,-79.550204,I- 74,12.589123281513723
HOG4A4,29.96763,-95.571376,I- 45,8.945695470308868
MWG239,43.3343908,-88.28456709999999,I- 41,0.7081606364661288
ATG918,33.599119,-83.75148,I- 20,0.9057343172653448
FMG123,26.674242,-81.895727,I- 75,5.1637033978407905
SAG368,29.68817,-98.476551,I- 10,9.011757850414355
CAG383,35.380688,-80.304359,I- 85,16.645051584480655
CIG081,41.7340128,-91.6071499,I- 380,1.7981596498013612
SAG369,29.140589,-98.905789,I- 35,0.9355259259883393
SLG241,38.419565,-90.782735,I- 44,4.704892530340755
GVG125,35.3295112,-82.3768226,I- 26,2.6079576718312008
LYG093,30.050706,-91.94992,I- 10,14.730555642740226
WOG143,30.67054,-96.318692,I- 45,32.89211574382972
JMG018,35.916091,-88.753431,I- 40,15.234159960496966
SEG109,48.008186,-122.531872,I- 5,15.822254752058573
MPG209,30.5061967,-87.2221548,I- 10,0.16603467253097642
ATG919,33.398104,-84.765954,I- 85,0.8287765241043319
ATG920,33.570916,-85.049954,I- 20,8.795719628474535
OKE020,35.5366625,-98.6778942,I- 40,0.05555897045257574
LXG152,37.361398,-84.8667693,I- 75,28.870042125561692
ORG598,28.6735253,-81.50579019999999,I- 4,7.120502573866165
NPG142,37.1718622,-76.4746833,I- 64,3.6253232480861057
HOG4A5,29.691466,-95.7411229,I- 10,6.456014062876441
HOG4A6,29.9040709,-95.0642199,I- 10,7.493777662298749
KCG087,39.05497829999999,-94.5308845,I- 70,1.2332202530267626
HOG4A7,29.6624276,-95.6197165,I- 69,2.7719040939766226
BOG436,42.9824589,-71.20904209999999,I- 93,9.316749522100487
SCG133,38.160967,-121.690675,I- 5,14.514982239428079
DVG267,39.7783404,-105.1022106,I- 70,0.3685101758040046
CLG227,41.0285896,-82.03024119999999,I- 71,2.3750685418347635
COG157,34.989107,-85.209171,I- 75,0.28631897090692315
HFG092,41.7310271,-72.7178661,I- 84,1.1493460904025499
CPG036,38.939193,-104.740374,I- 25,3.499124908713999
LAG528,33.571448,-117.203753,I- 15,0.41705359368963757
MAG256,26.308635,-80.092053,I- 95,1.586896482561481
SRE005,32.4850245,-93.7235773,I- 49,1.8212103855035842
LNW052,42.695183,-84.5677693,I- 496,2.1331849242147793
GHE019,36.1626011,-79.649136,I- 840,4.232642064030408
GHE019,36.1626011,-79.649136,I- 785,4.232642064030408
CUW081,32.4632463,-84.8929634,I- 185,2.097916197392199
ATW716,33.0029473,-85.01640259999999,I- 85,0.2869585628292875
NAE042,36.1760448,-85.4964635,I- 40,2.78167780022564
ANE002,61.2244755,-149.8129044,I- 5,1378.0364068585206
SEE038,47.5813716,-122.3843209,I- 90,2.6479590161928734
CDE007,39.84536689999999,-88.9639953,I- 72,3.9701216292832013
MWW231,42.980844,-87.929237,I- 94,0.6342859391888073
MWW231,42.980844,-87.929237,I- 43,0.6342859391888073
CHE151,42.0287263,-88.0608711,I- 290,1.515614462038446
PTW108,40.834874,-79.625741,I- 76,21.6783135285231
DVE004,39.5882804,-105.3104412,I- 70,7.962012627128787
SRW038,31.536562,-93.708263,I- 49,31.03920834924694
DVW093,39.6413155,-105.3347481,I- 70,4.184624230200333
AQW046,33.198133,-107.226685,I- 25,1.532460641364409
SAW068,29.36408939999999,-98.5507505,I- 35,1.2638690469360014
CHE110,41.974538,-88.207492,I- 90,6.3889233725264445
SKW157,40.702942,-111.939403,I- 215,0.6929285564429877
DTW625,42.783646,-83.320495,I- 75,4.382793711426661
PRE001,42.04314,-71.077898,I- 495,5.773753035997005
CHW818,41.600612,-86.736534,I- 80,3.584691941649882
CHW818,41.600612,-86.736534,I- 90,3.584691941649882
NAG245,36.2157547,-86.585591,I- 40,3.2009945375038447
CLG228,41.0309738,-81.54687249999999,I- 277,0.08505167526167
FRG150,36.7577642,-119.8449281,I- 5,37.62818723478224
TCG035,45.4013741,-84.881175,I- 75,13.308281500043384
HOG4A8,29.700285,-95.6736112,I- 10,5.827181556331512
RAG528,36.0310901,-78.8404099,I- 85,0.04299620609880326
GAG077,29.41022,-82.5400373,I- 75,15.496763104768586
PXG517,35.723027,-114.4862276,I- 11,23.530777900018894
SFG199,37.5682485,-122.0259632,I- 880,0.726139765287061
CAG384,34.9643504,-80.50453189999999,I- 485,13.967221066000794
BIG304,33.8394316,-87.23138399999999,I- 22,2.9565065283243155
ABG014,32.479691,-100.3893364,I- 20,0.9520460837252936
SLG242,38.5127628,-90.4406748,I- 44,2.0850801190089334
DMG032,41.6768689,-94.5017481,I- 80,12.557192046185364
TPG578,27.960458,-82.7124139,I- 275,6.107486964551361
SCG134,38.574458,-121.38345,I- 80 Bus,3.397565086482976
COG158,34.957886,-85.219967,I- 75,1.723380212081055
MPG210,30.406161,-87.772501,I- 10,16.85076092537227
DFG463,32.930782,-96.683538,I- 635,2.868816040184978
CLG229,41.0379163,-81.6375212,I- 76,0.09762125361133277
FRG151,35.8922804,-119.0515159,I- 5,38.2218743378032
SFG200,37.334219,-121.851985,I- 280,0.28464240718184525
NOG178,30.4827682,-90.1905082,I- 12,1.3894059888138885
MPG211,31.0195768,-87.65822860000002,I- 65,0.0968862057025007
TCG036,44.902171,-85.063131,I- 75,17.840328183770986
ORE004,29.0481616,-82.06073909999999,I- 75,6.059680848153529
AUE016,30.333509,-97.705215,I- 35,0.07084026174406048
TCG037,45.368741,-84.970438,I- 75,17.32752206948198
EVG053,37.3528366,-87.4893264,I- 69,0.13077879314596472
GAG078,29.8014394,-82.97148039999999,I- 75,26.1215673819682
TAG118,30.4365122,-83.6275069,I- 10,0.18393313752280413
PDG055,36.788276,-89.01281929999999,I- 69,18.618043512071253
CRG014,40.46552880000001,-122.3219242,I- 5,0.7122430894244743
AUG259,30.7523275,-98.2270869,I- 35,32.851706922979545
NAG246,35.8347008,-87.4328541,I- 40,10.512582110082228
MCG146,32.8986171,-83.7025184,I- 75,0.8180740825504231
CBG091,39.5850231,-83.1192,I- 71,15.350824802798792
JVG350,30.4865112,-81.5905083,I- 295,2.912930291128776
MPG212,30.4558121,-86.65075739999999,I- 10,17.744010363983246
DCG646,39.0073851,-77.414142,I- 66,10.6662135578086
MDG161,42.68608649999999,-90.6863464,I- 380,65.27926124591599
