gtvid,c_nfc_enabled
BIE037,Unknown
BIE039,Unknown
BIE042,Unknown
BIE069,Unknown
BIE071,Unknown
BIE095,Unknown
BIE123,Unknown
BIG037,Unknown
BIG040,Unknown
BIG042,Unknown
BIG134,Unknown
BIG144,Unknown
BIG278,Unknown
BIG284,Unknown
BIG318,Unknown
BIG319,Unknown
BIG320,Unknown
BIG325,Unknown
BIG328,Unknown
BIG329,Unknown
BIG331,Unknown
BIG341,Unknown
BIG348,Unknown
BIG352,Unknown
BIG361,Unknown
BIG362,Unknown
BIG373,Unknown
BIG380,Unknown
BIG382,Unknown
BIG384,Unknown
BIG392,Unknown
BIG398,Unknown
BIG400,Unknown
BIG404,Unknown
BIG405,Unknown
BIG407,Unknown
BIG409,Unknown
BIG415,Unknown
BIG417,Unknown
BIG422,Unknown
BIG423,Unknown
BIG427,Unknown
BIG430,Unknown
BIG433,Unknown
BIG437,Unknown
BIG440,Unknown
BIG446,Unknown
BIG448,Unknown
BIG449,Unknown
BIG450,Unknown
BIG451,Unknown
BIG461,Unknown
BIG474,Unknown
BIG480,Unknown
BIW037,Unknown
BIW092,Unknown
BIW097,Unknown
BIW107,Unknown
BIW110,Unknown
BIW111,Unknown
BIW193,Unknown
BIW224,Unknown
BIW243,Unknown
BIW247,Unknown
BIW260,Unknown
BIW269,Unknown
BIW271,Unknown
BIW274,Unknown
BIW276,Unknown
BIW287,Unknown
BIW288,Unknown
BIW290,Unknown
BIW293,Unknown
BIW294,Unknown
BIW295,Unknown
BIW298,Unknown
BLE002,Unknown
BLE006,Unknown
BLE010,Unknown
BLG029,Unknown
BLG031,Unknown
BLG035,Unknown
BLG044,Unknown
BLG059,Unknown
BLG082,Unknown
BLG150,Unknown
BLG151,Unknown
BLG152,Unknown
BLG165,Unknown
BLG181,Unknown
BLG196,Unknown
BLG213,Unknown
BLG214,Unknown
BLG235,Unknown
BLG236,Unknown
BLG244,Unknown
BLG247,Unknown
BLG249,Unknown
BLG250,Unknown
BLG252,Unknown
BLG255,Unknown
BLG256,Unknown
BLG260,Unknown
BLG262,Unknown
BLG265,Unknown
BLG266,Unknown
BLG267,Unknown
BLG274,Unknown
BLG278,Unknown
BLG279,Unknown
BLG280,Unknown
BLG285,Unknown
BLG289,Unknown
BLG294,Unknown
BLG295,Unknown
BLG297,Unknown
BLG305,Unknown
BLG306,Unknown
BLG307,Unknown
BLG308,Unknown
BLG309,Unknown
BLG310,Unknown
BLG311,Unknown
BLG312,Unknown
BLG320,Unknown
BLG324,Unknown
BLG325,Unknown
BLG332,Unknown
BLG333,Unknown
BLG336,Unknown
BLW004,Unknown
BLW033,Unknown
BLW047,Unknown
BLW050,Unknown
BLW055,Unknown
BLW056,Unknown
BME004,Unknown
BME006,Unknown
BME007,Unknown
BMG011,Unknown
BMG030,Unknown
BMG031,Unknown
BMW015,Unknown
BMW016,Unknown
BMW017,Unknown
BMW026,Unknown
BMW028,Unknown
BMW029,Unknown
BNG004,Unknown
BNG011,Unknown
BNG012,Unknown
BNG024,Unknown
BOE003,Unknown
BOE021,Unknown
BOE024,Unknown
BOE026,Unknown
BOE028,Unknown
BOE029,Unknown
BOG015,Unknown
BOG016,Unknown
BOG024,Unknown
BOG029,Unknown
BOG030,Unknown
BOG031,Unknown
BOG032,Unknown
BOG034,Unknown
BOG035,Unknown
BOG040,Unknown
BOG044,Unknown
BOG046,Unknown
BOG052,Unknown
BOG062,Unknown
BOG066,Unknown
BOG070,Unknown
BOG072,Unknown
BOG077,Unknown
BOG085,Unknown
BOG086,Unknown
BOG089,Unknown
BOG098,Unknown
BOG099,Unknown
BOG101,Unknown
BOG104,Unknown
BOG105,Unknown
BOG106,Unknown
BOG107,Unknown
BOG108,Unknown
BOG109,Unknown
BOG110,Unknown
BOG111,Unknown
BOG112,Unknown
BOG113,Unknown
BOG115,Unknown
BOG142,Unknown
BOG143,Unknown
BOG144,Unknown
BOG151,Unknown
BOG152,Unknown
BOG153,Unknown
BOG154,Unknown
BOG155,Unknown
BOG156,Unknown
BOG157,Unknown
BOG158,Unknown
BOG163,Unknown
BOG165,Unknown
BOG172,Unknown
BOG173,Unknown
BOG174,Unknown
BOG176,Unknown
BOG177,Unknown
BOG178,Unknown
BOG180,Unknown
BOG187,Unknown
BOG188,Unknown
BOG234,Unknown
BOG252,Unknown
BOG271,Unknown
BOG273,Unknown
BOG282,Unknown
BOG283,Unknown
BOG351,Unknown
BOG397,Unknown
BOG413,Unknown
BOG414,Unknown
BOG420,Unknown
BOG422,Unknown
BOG429,Unknown
BOG433,Unknown
BOG436,Unknown
BOG437,Unknown
BOG439,Unknown
BOG441,Unknown
BOG442,Unknown
BOG443,Unknown
BOG444,Unknown
BOG446,Unknown
BOG447,Unknown
BOG450,Unknown
BOG451,Unknown
BOG452,Unknown
BOG454,Unknown
BOG455,Unknown
BOG458,Unknown
BOG459,Unknown
BOG464,Unknown
BOG467,Unknown
BOG470,Unknown
BOG471,Unknown
BOG476,Unknown
BOG477,Unknown
BOG480,Unknown
BOG483,Unknown
BOG486,Unknown
BOG487,Unknown
BOG490,Unknown
BOG492,Unknown
BOG495,Unknown
BOG497,Unknown
BOG499,Unknown
BOG503,Unknown
BOG504,Unknown
BOG505,Unknown
BOG506,Unknown
BOG507,Unknown
BOG509,Unknown
BOG510,Unknown
BOG517,Unknown
BOG527,Unknown
BOG531,Unknown
BOG532,Unknown
BOG538,Unknown
BOG540,Unknown
BOG541,Unknown
BOG546,Unknown
BOG548,Unknown
BOG550,Unknown
BOG554,Unknown
BOS098,Unknown
BOS099,Unknown
BOW001,Unknown
BOW002,Unknown
BOW011,Unknown
BOW025,Unknown
BOW026,Unknown
BOW027,Unknown
BOW030,Unknown
BOW049,Unknown
BOW052,Unknown
BOW053,Unknown
BOW149,Unknown
BOW155,Unknown
BOW159,Unknown
BOW160,Unknown
BOW166,Unknown
BOW167,Unknown
BOW171,Unknown
BOW173,Unknown
BOW183,Unknown
BOW187,Unknown
BOW192,Unknown
BOW193,Unknown
BPG005,Unknown
BPG047,Unknown
BPG048,Unknown
BPG053,Unknown
BPG061,Unknown
BPG072,Unknown
BPG078,Unknown
BPG092,Unknown
BPG095,Unknown
BPG115,Unknown
BPG132,Unknown
BPG139,Unknown
BPW016,Unknown
BRE003,Unknown
BRE006,Unknown
BRE012,Unknown
BRE013,Unknown
BRE014,Unknown
BRE015,Unknown
BRE017,Unknown
BRE018,Unknown
BRE019,Unknown
BRE020,Unknown
BRE021,Unknown
BRE022,Unknown
BRE025,Unknown
BRE026,Unknown
BRE027,Unknown
BRE028,Unknown
BRE029,Unknown
BRE030,Unknown
BRE031,Unknown
BRE032,Unknown
BRE033,Unknown
BRE034,Unknown
BRE035,Unknown
BRE039,Unknown
BRE040,Unknown
BRG006,Unknown
BRG009,Unknown
BRG010,Unknown
BRG112,Unknown
BRG114,Unknown
BRG120,Unknown
BRG121,Unknown
BRG124,Unknown
BRG126,Unknown
BRG136,Unknown
BRG144,Unknown
BRG145,Unknown
BRG146,Unknown
BRG148,Unknown
BRG149,Unknown
BRG151,Unknown
BRG153,Unknown
BRG160,Unknown
BRW021,Unknown
BRW045,Unknown
BRW048,Unknown
BRW057,Unknown
BRW060,Unknown
BRW061,Unknown
BRW067,Unknown
BRW074,Unknown
BRW076,Unknown
BRW082,Unknown
BRW088,Unknown
BRW089,Unknown
BRW090,Unknown
BRW092,Unknown
BRW096,Unknown
BRW097,Unknown
BRW098,Unknown
BRW099,Unknown
BRW100,Unknown
BRW101,Unknown
BRW102,Unknown
BRW104,Unknown
BRW105,Unknown
BRW106,Unknown
BRW107,Unknown
BRW108,Unknown
BRW109,Unknown
BRW111,Unknown
BRW112,Unknown
BRW115,Unknown
BSG001,Unknown
BUG025,Unknown
BUG041,Unknown
BUG044,Unknown
BUW005,Unknown
BUW006,Unknown
BVE001,Unknown
BVE007,Unknown
BVG011,Unknown
BVG017,Unknown
BVG019,Unknown
BVG023,Unknown
BVG028,Unknown
BVG042,Unknown
BVG051,Unknown
BVG052,Unknown
BVG055,Unknown
BVG056,Unknown
BVG057,Unknown
BVG058,Unknown
BVG059,Unknown
BVG061,Unknown
BVG062,Unknown
BVG066,Unknown
BVW020,Unknown
BVW031,Unknown
BVW032,Unknown
BVW042,Unknown
BVW046,Unknown
BVW047,Unknown
BVW048,Unknown
BVW049,Unknown
BVW050,Unknown
BVW051,Unknown
BVW052,Unknown
BVW053,Unknown
BVW054,Unknown
BVW057,Unknown
BVW058,Unknown
BVW059,Unknown
BVW060,Unknown
BVW061,Unknown
BXG023,Unknown
BXG036,Unknown
BXG048,Unknown
BXG056,Unknown
BXG060,Unknown
BXG071,Unknown
BXG072,Unknown
BXG074,Unknown
BXG087,Unknown
BXG088,Unknown
BXG094,Unknown
BXG098,Unknown
BXG101,Unknown
CAE001,Unknown
CAE004,Unknown
CAE013,Unknown
CAE015,Unknown
CAE028,Unknown
CAE031,Unknown
CAE032,Unknown
CAE034,Unknown
CAE057,Unknown
CAE058,Unknown
CAE060,Unknown
CAE061,Unknown
CAE084,Unknown
CAE088,Unknown
CAE092,Unknown
CAG024,Unknown
CAG035,Unknown
CAG037,Unknown
CAG038,Unknown
CAG042,Unknown
CAG046,Unknown
CAG049,Unknown
CAG050,Unknown
CAG051,Unknown
CAG052,Unknown
CAG055,Unknown
CAG060,Unknown
CAG066,Unknown
CAG113,Unknown
CAG114,Unknown
CAG115,Unknown
CAG116,Unknown
CAG117,Unknown
CAG118,Unknown
CAG119,Unknown
CAG120,Unknown
CAG121,Unknown
CAG126,Unknown
CAG127,Unknown
CAG132,Unknown
CAG186,Unknown
CAG209,Unknown
CAG213,Unknown
CAG217,Unknown
CAG244,Unknown
CAG247,Unknown
CAG280,Unknown
CAG285,Unknown
CAG290,Unknown
CAG295,Unknown
CAG302,Unknown
CAG316,Unknown
CAG322,Unknown
CAG324,Unknown
CAG328,Unknown
CAG330,Unknown
CAG348,Unknown
CAG356,Unknown
CAG372,Unknown
CAG378,Unknown
CAG387,Unknown
CAG390,Unknown
CAG395,Unknown
CAG411,Unknown
CAG413,Unknown
CAG417,Unknown
CAG419,Unknown
CAG422,Unknown
CAG424,Unknown
CAG433,Unknown
CAG434,Unknown
CAG437,Unknown
CAG441,Unknown
CAG442,Unknown
CAG443,Unknown
CAG444,Unknown
CAG445,Unknown
CAG451,Unknown
CAG453,Unknown
CAG454,Unknown
CAG455,Unknown
CAG457,Unknown
CAG458,Unknown
CAG461,Unknown
CAG462,Unknown
CAG464,Unknown
CAG467,Unknown
CAG468,Unknown
CAG469,Unknown
CAG470,Unknown
CAG471,Unknown
CAG475,Unknown
CAG477,Unknown
CAG478,Unknown
CAG482,Unknown
CAG483,Unknown
CAG484,Unknown
CAG485,Unknown
CAG486,Unknown
CAG488,Unknown
CAG491,Unknown
CAG492,Unknown
CAG493,Unknown
CAG495,Unknown
CAG496,Unknown
CAG497,Unknown
CAG498,Unknown
CAG499,Unknown
CAG500,Unknown
CAG503,Unknown
CAG505,Unknown
CAG506,Unknown
CAG507,Unknown
CAG508,Unknown
CAG510,Unknown
CAG511,Unknown
CAG512,Unknown
CAG513,Unknown
CAG515,Unknown
CAG519,Unknown
CAG520,Unknown
CAG521,Unknown
CAG524,Unknown
CAG526,Unknown
CAG527,Unknown
CAG528,Unknown
CAG529,Unknown
CAG531,Unknown
CAG532,Unknown
CAG533,Unknown
CAG535,Unknown
CAG538,Unknown
CAG541,Unknown
CAG542,Unknown
CAG543,Unknown
CAG545,Unknown
CAG546,Unknown
CAG547,Unknown
CAG551,Unknown
CAG553,Unknown
CAG556,Unknown
