gtvid,status,predicted_probability,actual_label,residual,model_roc_auc
ATG512,Temporarily Deactivated,0.014603875639463762,0,0.014603875639463762,0.8699592181637268
HOG587,Temporarily Deactivated,0.011768492352020097,0,0.011768492352020097,0.8699592181637268
ATG513,Temporarily Deactivated,0.0076284841297894505,0,0.0076284841297894505,0.8699592181637268
NYW334,Temporarily Deactivated,0.04109016451947374,0,0.04109016451947374,0.8699592181637268
GHW063,Temporarily Deactivated,0.001365187382573609,0,0.001365187382573609,0.8699592181637268
DOE013,Temporarily Deactivated,0.0001622562682266469,0,0.0001622562682266469,0.8699592181637268
DOE012,Temporarily Deactivated,0.00022440938284033757,0,0.00022440938284033757,0.8699592181637268
DFG099,Temporarily Deactivated,0.016356132681197712,0,0.016356132681197712,0.8699592181637268
DTW235,Temporarily Deactivated,0.009778838463404636,0,0.009778838463404636,0.8699592181637268
FWW054,Temporarily Deactivated,0.0038788006377093657,0,0.0038788006377093657,0.8699592181637268
CRW004,Awaiting Installation,0.0009804042435516463,0,0.0009804042435516463,0.8699592181637268
BFW049,Temporarily Deactivated,0.028583250151650343,0,0.028583250151650343,0.8699592181637268
NYW335,Temporarily Deactivated,0.008521583784298814,0,0.008521583784298814,0.8699592181637268
MOW006,Temporarily Deactivated,0.004740911834300923,0,0.004740911834300923,0.8699592181637268
JNW006,Temporarily Deactivated,0.002625244414930324,0,0.002625244414930324,0.8699592181637268
HOW075,Temporarily Deactivated,0.025301074326055266,0,0.025301074326055266,0.8699592181637268
JBW002,Temporarily Deactivated,0.01618549762005084,0,0.01618549762005084,0.8699592181637268
SCW106,Awaiting Installation,0.06952581303076814,0,0.06952581303076814,0.8699592181637268
MOW007,Temporarily Deactivated,0.01319811369003833,0,0.01319811369003833,0.8699592181637268
NOW026,Awaiting Installation,0.008746600795393798,0,0.008746600795393798,0.8699592181637268
NOW027,Temporarily Deactivated,0.0018597057262131503,0,0.0018597057262131503,0.8699592181637268
JPW011,Awaiting Installation,0.020315755437660902,0,0.020315755437660902,0.8699592181637268
MCW038,Deactivated,0.007017064214894491,0,0.007017064214894491,0.8699592181637268
BFW050,Deactivated,0.011880591185981117,0,0.011880591185981117,0.8699592181637268
BFW051,Deactivated,0.026001720300091593,0,0.026001720300091593,0.8699592181637268
NOW028,Awaiting Installation,0.03555358332819455,0,0.03555358332819455,0.8699592181637268
BFW052,Deactivated,0.004045665875387696,0,0.004045665875387696,0.8699592181637268
MOW008,Temporarily Deactivated,0.016606351202371757,0,0.016606351202371757,0.8699592181637268
AGW030,Temporarily Deactivated,0.014855546631519546,0,0.014855546631519546,0.8699592181637268
CMW050,Temporarily Deactivated,0.0031244624197121684,0,0.0031244624197121684,0.8699592181637268
CAW091,Temporarily Deactivated,0.09569104739741446,0,0.09569104739741446,0.8699592181637268
OKW036,Temporarily Deactivated,0.002384089716842886,0,0.002384089716842886,0.8699592181637268
MNW245,Temporarily Deactivated,0.010009941185311925,0,0.010009941185311925,0.8699592181637268
CAW092,Temporarily Deactivated,0.0036988964169544004,0,0.0036988964169544004,0.8699592181637268
KNW131,Temporarily Deactivated,0.0057768948591398845,0,0.0057768948591398845,0.8699592181637268
GBG100,Deactivated,0.003646360130075157,0,0.003646360130075157,0.8699592181637268
SFW118,Awaiting Installation,0.01416562028133565,0,0.01416562028133565,0.8699592181637268
SCW107,Awaiting Installation,0.012283541354285625,0,0.012283541354285625,0.8699592181637268
SFW119,Awaiting Installation,0.02460593799862635,0,0.02460593799862635,0.8699592181637268
SFW120,Awaiting Installation,0.008295128209897702,0,0.008295128209897702,0.8699592181637268
CBW045,Temporarily Deactivated,0.008221885402675011,0,0.008221885402675011,0.8699592181637268
PRW004,Temporarily Deactivated,0.01423841829389437,0,0.01423841829389437,0.8699592181637268
INW207,Temporarily Deactivated,0.0007778057673572669,0,0.0007778057673572669,0.8699592181637268
BOW092,Temporarily Deactivated,0.0010365963849346767,0,0.0010365963849346767,0.8699592181637268
SFW121,Awaiting Installation,0.024724653654491197,0,0.024724653654491197,0.8699592181637268
CBE035,Temporarily Deactivated,0.008898887087748487,0,0.008898887087748487,0.8699592181637268
PDW033,Temporarily Deactivated,0.0049196543289514345,0,0.0049196543289514345,0.8699592181637268
NYW337,Temporarily Deactivated,0.011425213368804029,0,0.011425213368804029,0.8699592181637268
JVG195,Temporarily Deactivated,0.042420774499717664,0,0.042420774499717664,0.8699592181637268
JVG197,Temporarily Deactivated,0.02627381703593954,0,0.02627381703593954,0.8699592181637268
JVG198,Temporarily Deactivated,0.010770400521046131,0,0.010770400521046131,0.8699592181637268
SVG065,Temporarily Deactivated,0.013586731864247338,0,0.013586731864247338,0.8699592181637268
MCG041,Temporarily Deactivated,0.0008388588142615037,0,0.0008388588142615037,0.8699592181637268
ALG024,Temporarily Deactivated,0.005914751763755092,0,0.005914751763755092,0.8699592181637268
SVE020,Temporarily Deactivated,0.0008381790553419872,0,0.0008381790553419872,0.8699592181637268
JVG201,Temporarily Deactivated,0.0032973279061782237,0,0.0032973279061782237,0.8699592181637268
SVG068,Temporarily Deactivated,0.0021098447819966684,0,0.0021098447819966684,0.8699592181637268
MCG042,Temporarily Deactivated,0.003078838802971273,0,0.003078838802971273,0.8699592181637268
MCG044,Temporarily Deactivated,0.0011704902800871212,0,0.0011704902800871212,0.8699592181637268
JVG206,Temporarily Deactivated,0.003218461300308628,0,0.003218461300308628,0.8699592181637268
JVG207,Temporarily Deactivated,0.0034299747459759946,0,0.0034299747459759946,0.8699592181637268
JVG210,Temporarily Deactivated,0.0026446462696508052,0,0.0026446462696508052,0.8699592181637268
ALG025,Temporarily Deactivated,0.014079543930367618,1,0.9859204560696324,0.8699592181637268
JVG212,Temporarily Deactivated,0.02059994054900022,0,0.02059994054900022,0.8699592181637268
MCG047,Temporarily Deactivated,0.010391564116395286,0,0.010391564116395286,0.8699592181637268
JVG213,Temporarily Deactivated,0.029890628466644538,0,0.029890628466644538,0.8699592181637268
ALG026,Temporarily Deactivated,0.02858056265702615,0,0.02858056265702615,0.8699592181637268
JVG214,Temporarily Deactivated,0.006320570446430404,0,0.006320570446430404,0.8699592181637268
JVG215,Temporarily Deactivated,0.015538545547317397,0,0.015538545547317397,0.8699592181637268
ALG028,Temporarily Deactivated,0.005045208487396919,0,0.005045208487396919,0.8699592181637268
SVG073,Temporarily Deactivated,0.011085694811952047,0,0.011085694811952047,0.8699592181637268
MCG052,Temporarily Deactivated,0.01091052536774621,0,0.01091052536774621,0.8699592181637268
JVG216,Temporarily Deactivated,0.007848855458202375,0,0.007848855458202375,0.8699592181637268
SVG074,Temporarily Deactivated,0.06547862289052851,0,0.06547862289052851,0.8699592181637268
ALG030,Temporarily Deactivated,0.009260358493167701,0,0.009260358493167701,0.8699592181637268
MCG054,Temporarily Deactivated,0.02460492356584887,0,0.02460492356584887,0.8699592181637268
MCG059,Temporarily Deactivated,0.00829249719037484,0,0.00829249719037484,0.8699592181637268
JVG217,Temporarily Deactivated,0.026255395849570963,0,0.026255395849570963,0.8699592181637268
JVG218,Temporarily Deactivated,0.01293696605258168,0,0.01293696605258168,0.8699592181637268
TAG037,Temporarily Deactivated,0.05089936984829622,0,0.05089936984829622,0.8699592181637268
TAG038,Temporarily Deactivated,0.0064040842757793846,0,0.0064040842757793846,0.8699592181637268
TAG039,Temporarily Deactivated,0.01825493042056696,0,0.01825493042056696,0.8699592181637268
ALG032,Temporarily Deactivated,0.04365448026966102,1,0.956345519730339,0.8699592181637268
ALG033,Temporarily Deactivated,0.025879376771592844,1,0.9741206232284072,0.8699592181637268
ATG515,Awaiting Installation,0.027042008935084707,0,0.027042008935084707,0.8699592181637268
ATG516,Temporarily Deactivated,0.03957930334906978,0,0.03957930334906978,0.8699592181637268
ATG518,Awaiting Installation,0.006133723020245347,0,0.006133723020245347,0.8699592181637268
ATG519,Temporarily Deactivated,0.0338365484180298,0,0.0338365484180298,0.8699592181637268
TAG040,Temporarily Deactivated,0.02013493809769318,0,0.02013493809769318,0.8699592181637268
MCG067,Temporarily Deactivated,0.001561127223559036,0,0.001561127223559036,0.8699592181637268
JVG222,Temporarily Deactivated,0.007182184016087815,0,0.007182184016087815,0.8699592181637268
ALG034,Temporarily Deactivated,0.013113516473655855,0,0.013113516473655855,0.8699592181637268
JVG225,Temporarily Deactivated,0.008905346467940818,0,0.008905346467940818,0.8699592181637268
JVG226,Temporarily Deactivated,0.01900038654940437,0,0.01900038654940437,0.8699592181637268
