gtvid,avg_monthly_revenue,revenue_percentile
HDE015,99.99088235294118,30.293596436610947
GHS034,487.4672340425532,84.44369941089133
FRG008,789.1792857142858,94.47770487092293
ORG315,199.92702127659578,54.887686191867424
ATG649,212.73574468085107,57.18664687006083
ATG933,545.4668085106384,87.3557162699363
WRG098,53.58137931034483,14.71334834043776
KCG305,38.88,9.923846927534843
INE082,32.86425531914892,8.276258441496239
SKG091,145.8604255319149,43.04324919775851
CHS031,860.2008695652175,95.64634321567124
BEG090,118.77106382978725,35.926050098184774
SCE001,7.887777777777777,2.749173811006274
ALG009,90.58750000000002,27.209157526701468
CWG082,58.22500000000001,16.346568322237655
HFG063,46.05869565217391,12.122228076057281
MWG018,849.0676595744679,95.48828966904544
CNG175,75.26021276595743,22.079601513482444
KCG028,87.67369565217393,26.141098711624117
FMG113,115.78791666666667,35.16451937353321
BXG037,106.18276595744679,32.22855500742372
MAG274,357.30933333333337,75.30054121365966
LRG271,199.77652173913046,54.83979117773839
CAG044,166.49,48.057857177067866
HOG3EF,325.59622222222214,72.15862828679533
HLS014,276.0474468085106,66.42559509555055
SLG276,569.0007317073172,88.43814358925235
WTG008,184.24974999999992,51.53024570142248
AQS114,709.1348936170215,92.91632741031658
INE073,21.01977272727273,5.177451027348053
WOG149,102.52071428571428,31.06949566550122
DTE264,199.87486486486492,54.87331768762871
BOG319,154.62829787234043,45.24641984769385
CYG002,464.2965957446808,83.15532353082044
DFG730,203.63413793103447,55.52947938119642
KCG002,580.0104255319147,88.850040710762
ATE215,232.68787234042557,60.2662962785574
RLG268,50.535000000000004,13.721921547966856
BXG020,45.339666666666666,11.868384501173427
PDE028,64.88063829787235,18.530580966521384
HOG965,296.86052631578946,69.08376837971167
CMG054,578.0972340425532,88.77340868815556
WBS002,420.64936170212775,80.35825470568513
CHS189,1275.6402127659576,98.8553091623162
POG015,0.0,0.4262656257483596
LXG189,86.92311111111113,25.872886632501555
DYS039,333.86361702127675,73.04468604818238
KCG146,44.85909090909092,11.67680444465731
SRE008,259.54212765957453,64.2080559413765
PBG068,103.91666666666667,31.51012979548829
BLG196,155.38765957446807,45.442789405622875
CJG003,337.82702127659576,73.42305665980172
MAG293,142.8734375,42.257770966042436
TPG076,29.135384615384616,7.265673643373725
GHG413,26.009333333333334,6.413142391877005
MPG220,87.69783783783781,26.16025671727573
RAG260,303.49347826086955,69.87403611284066
LVG141,0.0,0.4262656257483596
NOE018,119.5975,36.1272091575267
HFG119,61.672333333333334,17.47210115426984
KCE025,89.65446808510637,26.87868192921117
ATG867,203.93041666666667,55.596532400977054
RAG392,144.08574468085106,42.559509555055314
DMG124,46.807500000000005,12.452703673547584
PLG348,215.41,57.56501748168015
MMG408,115.15870967741934,34.97772881843
WOG020,24.492553191489364,6.0922457972125095
